Topic,Count,Name,Representation,Representative_Docs
-1,75,-1_이재명_대선_국민의힘_박성재,"['이재명', '대선', '국민의힘', '박성재', '출마', '권성동', '윤석열', '경호처', '개혁신당', '원내대표는']","['권성동 “박성재 탄핵은 이재명 노려봤다는 괘씸죄…기각 당연” 헌법재판소가 10일 박성재 법무부 장관에 대한 국회의 탄핵소추를 기각한 데 대해 국민의힘이 이재명 세력 줄탄핵 시리즈의 10번째 줄기각이라고 밝혔다국민의힘 권성동 원내대표는 이날 헌재의 박 장관에 대한 탄핵심판 선고 직후 페이스북을 통해 탄핵소추 96일 만에 열린 단 한 번의 2시간짜리 변론으로 끝난 졸속탄핵이었던 만큼 재판관 8명 전원일치 기각은 지극히 당연하고 상식적인 결과라며 이같이 말했다권 원내대표는 박 장관 탄핵은 더불어민주당의 아버지를 노려봤다는 괘씸죄를 물은 사건으로 이재명표 절대독재를 상징하는 악성탄핵이었다고 주장했다앞서 국회는 박 장관이 국회 본회의장에서 김건희 특검법 재의요구 이유를 설명한 뒤 자리로 돌아가다가 이 전 대표를 노려봤다는 점을 탄핵소추 사유로 명시했는데 헌재는 이날 이는 박 장관이 국회 본회의 중 퇴장한 행위의 정황에 대한 서술이므로 별도로 판단하지 않는다고 밝혔다권 원내대표는 괘씸죄 법무장관을 무려 119일이나 직', '헌재, 박성재 법무장관 탄핵 전원일치로 기각…직무 복귀 헌법재판소가 10일 박성재 법무부 장관에 대한 국회의 탄핵소추를 기각했다 헌재 결정에 따라 박 장관은 지난해 12월 12일 국회에서 탄핵소추안이 가결된 지 119일 만에 직무에 복귀하게 됐다 헌재는 이날 오후 서울 종로구 대심판정에서 박 장관에 대한 탄핵심판 선고기일을 열고 재판관 8명 전원일치 의견으로 이같이 결정했다앞서 국회 측은 탄핵 사유로 비상계엄 선포 방조로 내란 행위 가담 국회 자료 제출 등 거부로 국회증언감정법 위반 국회 본회의 중도 퇴장으로 법률 위반 등을 제시했다이날 헌재는 박 장관이 묵시적암묵적 동의를 통해 대통령의 비상계엄 선포행위를 도왔다는 사실을 인정할 증거 또는 객관적 자료를 찾을 수 없다고 밝혔다이어 박 장관이 비상계엄 해제 직후 삼청동 안전가옥안가 모임에 참석했다는 논란에 대해서도 비상계엄이 해제된 뒤 대통령 안가에서 회동했다는 사정만으로 피청구인이 내란 행위에 따른 법적인 후속 조치를 논의하고 대응 방안을 모색함으로써 내', '권성동 “민주 최고위 ‘명비어천가’ 넘쳐…경선은 이재명 추대식일뿐” 국민의힘 권성동 원내대표는 10일 대선 출마를 선언한 이재명 전 더불어민주당 대표를 겨냥해 이 전 대표가 참석한 마지막 민주당 최고위원회의는 낯 뜨거운 명비어천가가 넘쳐나 민주당 경선이 이재명 추대식에 불과하다는 것을 예고했다고 비판했다권 원내대표는 이날 서울 영등포구 여의도 국회에서 열린 비상대책위원회의에서 이재명 강점기 3년간 민주당은 이재명 1인 지배 정당으로 전락했고 국회는 이재명 개인의 방탄과 권력 장악 도구로 전락했다며 이같이 말했다그는 이재명 세력의 탄핵 남발 특검법 남발 입법 폭주로 대화와 타협의 정치는 사라졌고 다수당의 횡포와 정쟁만 난무했다며 중요한 민생 경제 입법은 설 자리가 없었다고 지적했다이어 이 전 대표가 의회 권력을 넘어 국가 권력을 모두 장악하면 대한민국은 어찌 되겠나라며 독선과 보복의 칼을 잔인하게 휘두르며 대한민국을 분열과 내전의 구렁텅이로 몰아넣을 것이 불 보듯 뻔하다고 했다권 원내대표는 우원식 국회의장이']"
0,56,0_트럼프_미국_관세_권한대행,"['트럼프', '미국', '관세', '권한대행', '도널드', '방위비', '한덕수', '한미', '상호관세', '대통령']","['트럼프, 또 ‘관세·방위비’ 연계…‘패키지 협상’ 현실적 전략 필요 도널드 트럼프 미국 대통령 로이터 연합뉴스 도널드 트럼프 미국 대통령이 한국과의 관세 협상에서 주한미군 방위비 분담과 주둔 문제를 패키지로 다룰 수 있다는 입장을 재차 밝혔다 두 사안이 직접적으로 연계되는 것을 경계하는 한국 정부의 부담이 커졌다 미국이 상호관세 부과를 90일 유예한 만큼 미국 측 진의를 신중하게 파악해야 한다는 제언이 나왔다 경', '트럼프 “무역협상 때 韓·日 같은 동맹을 우선하라” 한미 간 통상 협상이 지난 8일 한덕수 대통령 권한대행 국무총리와 도널드 트럼프 미국 대통령의 통화를 계기로 사실상 개시됐다 양 정상은 통화에서 조선 협력과 한국의 미국산 액화천연가스LNG 구매 미국의 한국에 대한 무역 적자 방위비 분담금 문제 등을 거론했다 한 대행은 통상장관정인교 통상교섭본부장을 미국에 보냈다고 말했고 트럼프 대통령은 통화를 마치자마자 케빈 헤싯 국가경제위원회NEC 위원장에게 무역 협상에서 한국일본 같은 동맹을 우선하라고 지시했다 미국의 관세 정책에 보복 관세로 맞서는 중국에 비해 반발이 덜한 한일 등 우방부터 협상을 벌여 성과를 내겠다는 의도로 풀이된다 정 본부장은 9일 미국 워싱턴 DC에 도착해 제이미슨 그리어 미 무역대표부USTR 대표와 협의에 들어갔다 정 본부장은 현지에서 기자들과 만나 알래스카 LNG 건도 중요한 부분이고 이미 양국 간 협의가 진행되고 있는 조선도 미국 측이 가장 관심을 갖는 영역이라고 했다 이와 관련 정부 고위 관계자는 이날 브리핑에서 미국이 한국에 대해 부과한 25 관세를 조정하는 것이 최우선 목표라고 했다 이 관계자는 관세와 무역 수지 문제 방위비 분담금을 연동해 협상하자는 미국 측의 원스톱 쇼핑 제안에 대해 지금은 입장을 말하기 어렵다면서도 가능성을 배제하지 않았다 양국 정부는 여러 장관급 채널을 가동해 관련 협상을 진행할 것으로 전망된다', '트럼프 “원스톱 쇼핑”… 한국 방위비·관세 패키지 협상 시사 한덕수 대통령 권한대행 국무총리는 8일 밤 도널드 트럼프 미국 대통령과 28분가량 통화했다 123 비상계엄과 미국 트럼프 2기 행정부 출범 이후 한미 정상 간 통화는 처음이다 트럼프 대통령은 통화에서 대한 무역 적자 문제와 관세 조선업 협력 미국산 액화천연가스LNG 방위비 분담금 문제 등을 거론했다 한 대행은 한국과 미국이 윈윈하길 희망한다고 했다고 총리실이 전했다 양측 통화 직후 케빈 해싯 국가경제위원회NEC 위원장은 언론 인터뷰에서 트럼프가 무역 협상에서 한국일본 같은 동맹을 우선하라고 지시했다고 밝혔다']"
1,42,1_윤석열_전한길_대통령이_대통령을,"['윤석열', '전한길', '대통령이', '대통령을', '대통령', '이철우', '한국사', '씨는', '강사', '관저에서']","['전한길 만난 윤 ""감옥 가고 죽어도 상관없지만, 국민들 어떡하나"" 한국사 강사 전한길 씨 윤석열 전 대통령 윤상현 국민의힘 의원왼쪽부터 사진전한길뉴스 홈페이지 캡처윤석열 전 대통령 탄핵에 반대해 온 한국사 강사 전한길 씨가 서울 한남동 관저에서 윤 전 대통령을 만났습', '""배신으로 큰 상처 받았다"" 퇴거는 안하고 관저 정치하는 윤석열 [자막뉴스] 윤석열 전 대통령의 비상계엄을 공개 지지해 온 강사 전한길 씨가 어제 한남동 관저를 찾아 윤 전 대통령을 만났습니다전 씨는 윤 전 대통령이 퇴', '""배신으로 큰 상처 받았다"" 퇴거는 안하고 관저 정치하는 윤석열 [자막뉴스] 윤석열 전 대통령의 비상계엄을 공개 지지해 온 강사 전한길 씨가 어제 한남동 관저를 찾아 윤 전 대통령을 만났습니다전 씨는 윤 전 대통령이 퇴']"
2,41,2_이재명_대선_진짜_대표가,"['이재명', '대선', '진짜', '대표가', '더불어민주당', '출마', '출마를', '공식', '대표는', '안철수']","['이재명, 대선 출마 선언···제 1국정 목표로 ‘경제 성장’ 제시 이재명 전 더불어민주당 대표가 10일 영상을 통해 21대 대선 출마를 공식 선언하고 있다 이 전 대표 유튜브채널 갈무리 이재명 전 더불어민주당 대표가 10일 오는 6월3일 열리는 제21대 대선 출마를 공식 선언했다 윤석열 전 대통령 파면으로 3년 만에 치러지는 조기 대선의 가장 유력한 주자가 본격적인 대선 행보를 펼치기 시작했다 짧은 선거 기간 동', '이재명 ""진짜 대한민국을 만들고 싶다""…대선 출마 공식 선언 더불어민주당 이재명 전 대표가 10일 영상 메시지를 통해 대선 출마의 각오와 의지를 밝혔다 사진이재명 캠프 제공이재명 전 더불어민주당 대표가 진짜 대한민국을 만들고 싶다며 대선 출마를 공식 선언했습니다', '[속보]이재명, 온라인 영상으로 21대 대선 출마 선언 “진짜 대한민국 만들 것” 10일 21대 대선 출마를 공식 선언한 이재명 전 더불어민주당 대표 이 전 대표 유튜브 채널 갈무리 이재명 전 더불어민주당 대표가 10일 진짜 대한민국을 만들겠다며 오는 6월3일 열리는 제21대 대선 출마를 공식 선언했다 이 전 대표는 이날 SNS 등에 공개한 출마 선언 영상에서 그냥 이름만 있는 대한민국이 아니라 진짜 대한민국을 만들고 싶다']"
3,40,3_헌법재판관_이완규_대통령_한덕수,"['헌법재판관', '이완규', '대통령', '한덕수', '함상훈', '지명한', '지명', '재판관', '법제처장과', '권한대행']","['[단독]입법조사처 “韓대행 헌법재판관 지명은 위헌” 유권해석 국회 입법조사처가 10일 한덕수 대통령 권한대행 국무총리의 대통령 몫 헌법재판관 후보자 지명에 대해 권한대행의 권한 범위를 넘어선 위헌위법이라는 의견이 헌법학자들 사이에서 압도적이라는 유권해석을 내린 것으로 전해졌다 이에 따라 우원식 국회의장은 이르면 이날 한 권한대행의 이완규 법제처장과 함상훈 서울고법 부장판사 지명에 대해 권한쟁의심판 청구 및 효력정지 가처분 신청 등 법적 대응에 나선다는 방침이다입법조사처는 이날 헌법학계와 전문가 등을 상대로 유권해석을 두루 실시한 결과 압도적인 다수로부터 한 권한대행의 대통령 몫 헌법재판관 후보자 지명은 권한을 넘어선 위헌 위법행위라는 의견을 받았다고 우 의장 측에 전달했다 앞서 우 의장 측은 입법조사처에 한 대행의 인사청문회 요청이 적법한지 아닌지에 대한 유권해석을 해줄 것을 의뢰했다입법조사처는 선거를 통해 민주적 정당성을 부여받은 대통령만이 대통령 몫 헌법재판관 후보자 지명권 및 헌법재판관 임명권을 가질 수 있다고 본 것으', '민주당 “헌법재판관 후보자 청문회 보이콧 검토”  당에 헌법재판관 임명 저지추경 당부더불어민주당은 한덕수 대통령 권한대행 국무총리가 헌법재판관 후보자로 지명한 이완규 법제처장과 함상훈 서울고법 부장판사의 국회 인사청문회', '마은혁 ‘韓대행 재판관 지명’ 헌법소원-가처분 주심 맡는다 한덕수 대통령 권한대행 국무총리가 대통령 몫 헌법재판소 재판관 후보자 2명을 지명한 것에 대한 헌법소원 및 효력정지 가처분 사건의 주심을 마은혁 재판관이 맡게 됐다법조계에 따르면 헌재는 10일 무작위 전차 추첨 방식으로 주심을 마 재판관에게 배정했다 주심은 사실관계 확인과 결정문 초안 작성 등의 역할을 맡는다한 권한대행은 8일 대통령 몫 헌재 재판관 후보자로 이완규 법제처장과 함상훈 서울고법 부장판사를 지명해 위헌 논란이 일었다 9일 김정환 법무법인 도담 변호사를 시작으로 법무법인 덕수 등은 대통령 고유 권한인 헌재 재판관 후보자 지명권을 권한대행이 행사하는 것은 위헌이라며 헌법소원을 청구하면서 재판관 지명의 효력을 정지해달라는 가처분을 함께 신청했다 10일까지 총 6건의 헌법소원 및 가처분 신청이 접수됐다마 재판관은 지난해 12월 26일 더불어민주당 추천의 국회 몫 후보자로 선출됐지만 한 권한대행이 임명을 보류하고 최상목 부총리도 조한창 정계선 재판관만 임명하면서']"
4,29,4_경선_후보_후보를_선출,"['경선', '후보', '후보를', '선출', '3일', '1차', '2차', '국힘', '50', '대선']","['국힘, 경선 1차서 4인 뽑고 2차서 2인 선출 국민의힘이 오는 6월 3일 열리는 대선 후보 선출 방식을 10일 확정했다 1차 경선에서 국민 여론조사 100로 후보를 4인으로 압축하고 2차 경선에서 2인으로 압축한 뒤 3차 경선에서 최종 후보를 선출하는 방안이다 모든 경선 여론조사에 역선택 방지 조항도 넣기로 했다', '국힘 경선룰 ‘1차에서 4명 압축, 최종 2명 결선’ 확정 국민의힘은 10일 63 대선 후보 경선에서 1차 경선컷오프에서 4명으로 후보를 압축한 뒤 2차 컷오프에서 과반 득표자가 없을 경우 2명으로 좁혀 최종 결선을 치르는 컷오프 방식을 확정했다 지난 대선에서 1차 컷오프에서 8명 2차 컷오프에서 4명으로 압축한 뒤 대선 후보를 선출한 방식에서 변화를 준 것이다국민의힘은 이날 비상대책위원회를 열고 1차 경선은 국민여론조사 100 방식으로 2차 경선은 국민여론조사 50 당원투표 50 방식으로 진행하기로 했다 2차 경선에서 과반 득표자가 나오면 최종 경선 없이 대선 후보를 확정한다 과반 득표자가 없으면 2차 경선과 같은 방식으로 2명의 후보가 결선을 치른다 이양수 선거관리위원회 부위원장은 이날 회의 후 기자들과 만나 4인 경선과 2인 경선 투표 방식은 당심과 민심을 고루 반영하겠다는 의지라며 특히 국민적 관심을 제고한다는 차원에서 2인 경선이 반드시 필요하다는 의견이 많았다고 설명했다대부분 후보들은 2인', '국힘 경선, 1차서 후보 4명 압축…2차선 양자대결로 국민의힘은 10일 대통령 선거 후보 선출을 위한 경선 일정과 방식을 확정했다 1차 예비경선컷오프에서 일반국민 여론조사 100로 후보 4인을 추리고 2차 경선에서 당심 50와 민심 50로 후보를 2인으로 압축한 뒤 최종 후보를 선출하는 방식이다국민의힘 경선 선거관리위원회 부위원장을 맡은 이양수 당 사무총장은 이날 서울 영등포구 여의도 국회에서 열린 비상대책위원회의 직후 기자들과 만나 선관위 회의 결과를 바탕으로 비대위에서 이같은 대선 후보 선출 방안을 의결했다고 밝혔다국민의힘은 오는 1415일 후보 등록 신청을 받은 뒤 서류심사를 거쳐 16일 1차 경선 진출자를 발표한다 17일 미디어데이를 열어 흥행을 도모하고 토론회 조 추첨을 할 예정이다 18일부터 20일까지 사흘간 후보자 토론회가 열린다 이 사무총장은 프로야구나 프로축구에서 미디어데이를 열듯 국민적 관심을 일으키고 후보자들이 국민께 잘 홍보될 수 있도록 미디어데이를 하기로 했다고 설명했다이후']"
5,22,5_내일_오후_사저로_관저를,"['내일', '오후', '사저로', '관저를', '서초동', '한남동', '5시', '관저', '대통령이', '대통령']","['윤 전 대통령, 내일 오후 퇴거…정치 행보 이어갈 듯 9650 윤석열 전 대통령윤석열 전 대통령이 내일 오후 5시 서울 한남동 관저를 떠나 서울 서초동 자택으로 거처를 옮길 예정입니다대통령', '尹, 내일 오후 5시 대통령 관저 떠난다…반려동물 11마리도 함께 서초동으로 윤석열 전 대통령이 11일 오후 5시 서울 한남동 관저에서 서초동 사저로 거처를 옮긴다 10일 연합뉴스에 따르면 윤 전 대통령 측 관계자는 이날 윤 전 대통령은 내일 오후 5시', '尹, 내일 오후 5시 관저 퇴거…40명 규모 사저 경호팀 편성 윤석열 전 대통령이 11일 오후 5시 한남동 관저를 떠나 서초동 사저로 이주한다 윤 전 대통령 측 관계자는 10일 윤 전 대통령은 내일 오후 5시 관저를 떠나 사저로 이동한다고 밝혔다 이 관계자는 대통령실 수석비서관 이상 참모들은 윤 전 대통령의 퇴거 시간에 맞춰 관저를 방문할 것이라며 별도의 메시지가 나올지 차량에서 내려 인사를 할지 등']"
6,20,6_한동훈_막아야_국민의힘_대표가,"['한동훈', '막아야', '국민의힘', '대표가', '대표는', '대선', '나라', '국회', '앞에서', '출마']","['한동훈, 대선 출마 선언…이재명 겨냥 ""괴물정권 탄생 막아야"" 국민의힘 한동훈 전 대표가 10일 서울 여의도 국회 분수대 앞에서 대선 출마 선언을 하고 취재진의 질문에 답하고 있다 사진연합뉴스한동훈 전 국민의힘 대표가 오늘10일 국회 본관 분수대 앞에서 21대 대통령', '한동훈, 대선 출마선언 “이재명도 사실상 탄핵…서태지처럼 내가 시대교체” 한동훈 전 국민의힘 대표가 10일 국회 분수대 앞에서 21대 대통령선거 출마 선언을 하고 있다 한수빈 기자 한동훈 전 국민의힘 대표가 10일 63 대선 출마를 선언했다 비상계엄 사태에서 자유로운 자신이 이재명 전 더불어민주당 대표를 이길 수 있는 주자라고 말했다 탄핵 찬성파였지만 윤석열 전 대통령 직접 비판을 자제하며 윤석열 정부 정책 일부를 계승', '“괴물 정권 탄생 막아야”…한동훈, 국회 광장서 대선 출사표[청계천 옆 사진관] 한동훈 전 국민의힘 대표가 돌아왔다10일 서울 여의도 국회 광장 분수대 앞에서 한동훈 전 국민의힘 대표가 대통령 선거도전을 공식 선언했다 한 전 대표는 이날 연설에서 국민이 먼저인 나라 중산층을 위한 나라 실용의 정치로 시대를 바꿔야 한다며 정치 교체 세대 교체시대 교체를 강조했다 총연설 시간은 45분 정치경제남북관계IT등 많은 내용을 담았다 한 전 대표는 기존의 80년대 운동권 세력의 퇴보를 주장하면서 4년 중임제 개헌 양원제 도입 비례대표제 폐지 선관위개혁 등을 포함한 제도 개혁 구상을 밝혔다 그는 같은날 대선 출마를 공식 선언한 이재명 전 더불어민주당 대표를 겨냥해 괴물정권이 탄생해 나라를 망치는 것은 막아야 한다고강조했다한 전 대표는 문화 대통령으로 불리는 서태지와 아이들을 거론해 눈길을 끌었다 록커가 랩과댄스를 하는 것에 배신감을 느낀 사람들이 많았지만 얼마 지나지 않아 그는 시대를 바꾸는 문화 대통령이 됐다며 시']"
7,19,7_원희룡_김기현_불출마_출마하지,"['원희룡', '김기현', '불출마', '출마하지', '국토교통부', '대선', '김태흠', '대선에', '경선에', '국민의힘']","['원희룡, 대선 불출마 선언…""대통령 탄핵, 내게도 큰 책임"" 원희룡 전 국토교통부 장관 사진연합뉴스원희룡 전 국토교통부 장관이 63 조기 대선에 출마하지 않겠다고 밝혔습니다 원 전 장관은 오늘9일 자신의 페이스북에 지난 대선 선대위 정책본부장으로 또 국', '김기현, 대선 불출마…“尹탄핵 못 막은 책임 통감” 국민의힘 김기현 의원이 윤석열 대통령의 파면으로 치러지는 조기 대선에 출마하지 않겠다고 10일 밝혔다 탄핵 반대에 앞장섰던 김 의원은 국민의힘 경선에 참여할 것으로 거론돼 왔다김 의원은 이날 페이스북에 저는 이번 국민의힘 대선 경선에 참여하지 않는다고 말했다그는 부적절한 계엄에도 불구하고 우리 당이 배출한 국민의 대통령을 우리 손으로 끌어내는 부끄러운 역사를 또다시 반복해서는 안 된다는 신념에 따라 수많은 애국시민들과 함께 광장으로 나섰다며 하지만 결국 대통령 탄핵을 막아내지 못했다고 했다그러면서 저부터 먼저 그 책임을 통감하며 자숙과 성찰의 시간을 가지려 한다며 비록 대통령 탄핵을 막아내지는 못했지만 나라의 자유민주주의와 법치주의를 지키기 위해 차가운 길바닥에서 풍찬노숙하며 투쟁해 온 지난 4개월여 시간은 자유 우파 재건에 밑거름이 되었다고 말했다김 의원은 저는 이제 저에게 주어진 새로운 역할에 그 책임을 다하고자 한다며 2년 전 당원동지들의 선택', '국민의힘 원희룡·김기현 등 불출마…대선후보 10명 안팎 전망 원희룡 전 국토교통부 장관과 김기현 의원 김태흠 충남도지사 박형준 부산시장 등 잠재적 대선후보로 거론됐던 국민의힘 인사들이 대선 불출마를 선언했다원 전 장관은 지난 9일 자신의 페이스북을 통해 책임을 다하기 위해 대선에 출마하지 않겠다며 보수 진영 주요 대선주자 가운데 가장 먼저 불출마 의사를 밝혔다이어 제가 대선 선대위 정책본부장으로 또 국토교통부 장관으로 참여했던 윤석열 정부가 대통령 탄핵을 맞았다며 저에게도 큰 책임이 있다고 적었다그는 지난 전당대회를 통해 당정이 분열하면 모두가 공멸할 것이라고 절박하게 경고했지만 막아내지 못했다 저의 부족함 때문이라며 대선 승리를 위해 당의 단합과 국민의 지지에 필요한 일이라면 어떠한 역할이라도 하겠다고 했다김 의원은 10일 페이스북에서 이번 국민의힘 대선 경선에 참여하지 않는다며 대통령 탄핵을 막아내지 못했다 저부터 먼저 그 책임을 통감하며 자숙과 성찰의 시간을 가지려 한다고 했다그러면서 우리 당']"
8,18,8_개헌_우원식_동시_동시투표,"['개헌', '우원식', '동시', '동시투표', '대선개헌', '국회의장이', '제안을', '대선', '사실상', '대표는']","['""대선·개헌 동시투표 어렵다"" 우원식, 사흘 만에 제안 철회 우원식 국회의장이 9일 국민적 공감대에 기초한 제 정당의 합의로 대선 이후 본격적인 논의를 이어가자며 기존 제안을 거둬들였다 지난 6일 제안했던 대선개헌 동시투표 구상', '친명계 “최우선 과제는 내란 완전 종식” 우원식 국회의장이 6일 대통령 선거일에 개헌 국민투표를 동시에 시행하자고 제안했지만 이재명 더불어민주당 대표는 따로 입장을 내지 않았다 이 대표는 과거 여러 차례 개헌 필요성을 말했다 2022년 대선에서는 대통령 4년 중임제가 포함된 개헌을 주요 공약에 넣었고 이후에도 같은 해 9월 국회 교섭단체 대표 연설과 이듬해 신년 기자회견에서 개헌을 제안했다 정치권에서는 차기 대통령 지지도 조사에서 1위인 이 대표의 선택이 개헌 성사 여부를 가를 키가 될 것으로 보고 있다 이 대표 측은 대표가 고심하고 있지 않겠나 늦지 않게 입장을 낼 것이라고 했다 이 대표를 제외한 민주당 친명계에서는 우 의장의 특별 담화 직후부터 개헌 반대 입장이 잇따라 나왔다 개헌 필요성엔 공감하지만 최우선 과제는 내란 종식이라는 것이다', '우의장, 대선·개헌 동시 투표 제안 철회...“선거 후 논의” 우원식 국회의장이 대선개헌 동시 투표 제안을 9일 철회했다 개헌에 대한 정당별 입장 차가 큰 만큼 관련 논의를 대선 뒤로 미루자는 것이다 우 의장은 이날 페이스북 글에서 국민적 공감대에 기초한 제 정당의 합의로 대선 이후 본격 논의를 이어가자면서 현 상황에서는 대선 동시투표 개헌이 사실상 어려워졌다고 판단한다고 밝혔다']"
