Topic,Count,Name,Representation,Representative_Docs
-1,63,-1_출마_선언_대선_시장,"['출마', '선언', '대선', '시장', '북한', '정권', '오세훈', '김여정', '영상', '10']","['이재명, 10일 영상으로 대선 출마 선언…모레 국회서 비전 발표 더불어민주당 이재명 대표 10 영상 메시지 통하 대선 출마 공식 선언 ㄴ다 대표 관계자 국회 기자 만나 내일 오전 10 이재명 후보 출마 선언 영상 메시지 공개 ㄴ다고 밝히 영상 대선 출마 대표 의지 각오 담기 ㄴ다 10 분량 영상 넷플릭스 다큐멘터리 비슷하 느낌', '이재명, 내일 대선 출마 공식화…현장연설 대신 영상 공개 이재명 더불어민주당 대표 10 차기 대선 출마 공식 ㄴ다 대표 따르 대표 10 오전 10 현장 연설 없이 영상 대선 출마 선언 미래 비전 경선 캠프 인선 다음날 발표 예정 출마 선언 영상 21 대통령 선거 출마 대표 의지 각오 담기 ㄴ다 해당 영상 윤석열 대통령 파면 직후 서울 모처 카페 촬영 다고 ㄴ다 비전 선포식 11 오전 10 국회 소통관 는다 민의 전당 국회 존중 정당 협치 언론 소통 중시 상징 장소 택하 다는 대표 설명 경선 캠프 인선 비전 선포식 발표 ㄴ다 선거 대책 위원장 윤호중 의원 선거 본부장 강훈식 의원 내정 알려지 김병기 조직 김영진 정무윤 후덕 정책한병도 상황 김우영 전략 의원 합류 전하 권혁기 대표 정무 기획실장 통합 능력', '이재명, 내일 오전 10시 영상으로 대선 출마 선언 이재명 11 국회 비전 캠프 인선 발표 연합 뉴스 자료 사진 더불어민주당 이재명 대표 내일 10 영상 대선 출마 선언 ㅂ니다 대표 오늘 국회 기자 만나 내일 10 오전 10 대표 출마 선언 영상 메시지 공개 ㄴ다 라고 밝히 영상 대선 출마 대표 의지 각오 담기 ㄴ다고 대표 설명 대표 내일 10 영상 출마']"
0,102,0_재판관_지명_대행_헌법,"['재판관', '지명', '대행', '헌법', '이완규', '권한', '대통령', '한덕수', '후보자', '처장']","['민주당 “내란 피의자 이완규, 기소 땐 심각” 맹공…이, 사퇴 일축 처장 법사위 긴급 현안 한덕수 대행 결정 존중 헌법 재판관 질문 다고 대행 엄호 나서 국민의힘 대통령 권한 행사 가능 주장 더불어민주당 국민 국회 법제 사법 위원회 긴급 현안 질의 한덕수 대통령 권한 대행 국무총리 이완규 법제처장 헌법 재판관 후보자 지명 정면충돌 민주당', '한덕수 권한대행, 대통령몫 헌재 2인 지명… 민주 “명백한 월권” 한덕수 대통령 권한 대행 국무총리 18 임기 종료 문형배 헌법 재판소장 직무 대행 이미선 헌법 재판관 후임 이완규 법제 처장 64 사법 연수원 23 기과 함상훈 서울고법 부장 판사 58 21 지명 권한 대행 대통령 헌법 재판관 지명 헌정사 전례 권한 대행 월권 라는 논란 나오 가운데 국회 더불어민주당 지명 철회 요구 대응 예고 권한 대행 이날 국민 드리 말씀 라는 입장 처장 부장 판사 지명 ㄴ다고 밝히 권한 대행 국회 추천 마은혁 재판관 지난해 12 27 국회 임명 동의 통과 마용주 법관 이날 임명 처장 부장 판사 문재인 대통령 지명 임명 재판관 재판관 후임 대통령 지명 임명 행사 자리 권한 대행 지난해 12 26 대통령 권한 대행 대통령 중대 고유 권한 행사 자제 라는', '헌재, ‘이완규·함상훈 지명’ 헌법소원·효력정지 가처분 접수 한덕수 대통령 권한 대행 국무총리 이완규 법제 처장 함상훈 서울고법 부장 판사 헌법 재판관 후보자 지명 대하 헌법 소원 효력 정지 처분 신청 제기 법무 법인 도담 김정환 변호사 이날 헌법 재판소 권한 대행 헌법 재판관 지명 관련 헌법 소원 효력 정지 처분 신청 접수 다고 밝히 권한 대행 18 임기 종료 문형배 이미선 헌법 재판관 후임 처장 부장 판사 지명 권한 대행 대통령 헌법 재판관 지명 헌정사 처음 권한 대행 라는 논란 더불어민주당 강하 반발 지명 철회 요구 이날 국회 법제 사법 위원회 대통령 권한 대행 대통령 헌법 재판관 지명 도록 헌법 재판소 개정안 민주당 주도 통과']"
1,95,1_대통령_윤석열_국민_대선,"['대통령', '윤석열', '국민', '대선', '탄핵', '경선', '후보', '선거', '파면', '관저']","['국힘, 내달 3일 대선 후보 선출…이달 14~15일 경선후보 등록 조기 대선 앞두 국민 선거 관리 위원회 16 경선 진출자 발표 최종 대통령 후보 선출 다고 밝히 선관위원 국민 호준석 대변인 선관위 회의 끝나 기자 만나 전하 대변인 자리 10 대선 후보 등록 공고 ㄴ다며 14 15 이틀 후보 등록 예정 라고 경선 진출자 서류 심사 거치 16 오후 발표 ㄴ다 서류 심사 마약 성범죄 범죄 경력 적격자 거르 방침 기탁금 경우 최대 상한 이내 조정 최종 후보 선출 전당 대회 열리 ㄴ다 대선 출마 위하 공직자 사퇴 고려 일정 오세훈 서울시장 사퇴 없이 경선 참여 보이 ㄴ다 국민 당헌 71 대선 경선 출마 려는 후보자 대선일 개월 선출직 당직 사퇴 ㄴ다고 규정', '국힘, 내달 3일 후보 선출…1·2차 경선 국민 여론조사 100% 부상 국민 21 대통령 선거 후보 선출 ㄴ다 국민 당헌 당규 대로 최종 경선 국민 여론 조사 50 투표 50 반영 유력 ㄴ다 12 경선 국민 여론 조사 비율 최대 100 높이 다는 관측 나오 다국민 선거 관리 위원회 국회 본관 회의 일부 경선 일정 정하 선관위 10 후보 등록 공고 1415 후보 등록 이후 서류 심사 거치 16 오후 경선 진출자 발표 예정 서류 심사 적격 기준 마약 딥페이크 성범죄사회 지탄 범죄 관위 구체 경선 방식 규칙 일정 밝히 선관위 10 비상 대책 위원회 의결 거치 해당 안건 확정 계획 호준석 선관위 대변인 회의 직후 기자 만나 경선 기간 아서 예비 후보 등록 예비 경선 라는 개념 다면서 경선 시작 는데 방식', '6월 3일 대선 유력 헌법 재판소 윤석열 대통령 파면 결정 이날 60 이내 조기 대선 치르 대선 예비 후보 등록 시작 면서 정치 대선 준비 돌입 한덕수 대통령 권한 대행 국무 회의 대선 일정 확정 예정 대통령 선거일 유력 더불어민주당 계엄 심판 앞세우 정권 교체 이루 다는 구상 이재명 민주당 대표 헌재 탄핵 결정 직후 기자 회견 위대하 국민 위대하 민주 공화국 대한민국 되찾 다며 이제 대한민국 시작 ㄴ다고 대표 조만간 대표 사퇴 민주당 대선 후보 활동 시작 계획']"
2,57,2_트럼프_미국_통화_관세,"['트럼프', '미국', '통화', '관세', '대통령', '대행', '권한', '한덕수', '협상', '방위비']","['[속보] 한덕수 권한대행, 트럼프 美대통령과 첫 통화 한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 통화 다고 총리실 밝히 트럼프 행정부 출범 양국 정상 통화 처음 트럼프', '한덕수-트럼프 28분 첫 통화…관세·방위비 등 압박 오후 한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 28 통화 지나 트럼프 대통령 취임 한미 정상 직접 소통 처음 ㅂ니다 통화', '트럼프 “원스톱 쇼핑”… 한국 방위비·관세 패키지 협상 시사 한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 28 가량 통화 123 비상계엄 미국 트럼프 행정부 출범 이후 정상 통화 처음 트럼프 대통령 통화 대하 무역 적자 문제 관세 조선업 협력 미국 액화 천연가스 LNG 방위비 분담금 문제 거론 대행 한국 미국 윈윈 희망 ㄴ다고 다고 총리실 전하 양측 통화 직후 케빈 해싯 국가경제위원회 NEC 위원장 언론 인터뷰 트럼프 무역 협상 한국일본 동맹 라고 지시 다고 밝히']"
3,35,3_김문수_출마_선언_장관,"['김문수', '출마', '선언', '장관', '노동부', '대선', '고용', '이철우', '유정복', '경북']","['김문수, ‘윤석열’ 언급 없이 “대연정도 해야”…대선 출마 선언 김문수 고용 노동부 장관 정부서울청사 열리 국무 회의 참석 기자 회견 청사 떠나 대통령실 사진 기자단 대선 출마 기자 회견 김문수 이재명 이기 ㄴ다 김문수 고용 노동부 장관 통합 연정 나라 이든 ㄴ다며 대선 출마 선언 윤석열 대통령 파면 반대 출마', '김문수, \'청렴 강조\' 대선 출마 선언…""피고인 이재명 이긴다"" 김문수 고용 노동부 장관 오늘 오전 국회 소통관 기자 회견 대선 출마 공식 선언 사진 JTBC 유튜브 라이브 김문수 고용 노동부 장관 대한민국 정체 세우 다며 21', '김문수 “깨끗한 내가 피고인 이재명 이길 것”…유정복-이철우도 대선출마 선언 여론 조사 보수 진영 대선 주자 가운데 선두 기록 탄핵 반대파 김문수 고용 노동부 장관 깨끗하 피고인 이재명 이기 ㄴ다며 대선 출마 선언 국민 소속 현직 지자체장 유정복 인천 시장 이철우 경북 지사 출마 선언 장관 이날 오전 국회 12 가지 죄목 재판 피고인 이재명 상대 가지 깨끗하 김문수 제격 라며 거짓 감언이설 대한민국 혼란 파멸 이재명 민주당 김문수 확실히 바로잡 다고 출마 선언 장관 출마 선언 앞서 국민 입당 출마 선언 민중 민주주의 깃발 아래 친북 기업 정책 고집 자유 민주주의 부정 나라 근간 뒤흔들 세력 사회 잔존 중국 안보 경제 위협 현실 다며 자유 민주주의 대한민국 정체 세우 대한민국 더욱 위대하 만들']"
4,35,4_개헌_우원식_제안_투표,"['개헌', '우원식', '제안', '투표', '의장', '동시', '대선', '국회', '철회', '국민']","['우원식, 대선-개헌 동시투표 제안 철회…“대선후 논의하자” 우원식 국회 의장 상황 대선 동시 투표 개헌 사실 어렵 다며 개헌 논의 대선 이후 미루 치르 21 대통령 선거일 개헌 위하 국민 투표 동시 시행 자고 제안 으나 사흘 입장 철회 의장 이날 페이스북 안정 개헌 논의 상황 라며 전하 비상계엄 단죄 당력 모으 더불어민주당조국혁신당진보당 개헌 논의 보다 정국 수습 라는 입장 밝히 국민 주장 개헌 국회 권한 축소 방향 라면 사실 합의 가능 다고 설명 한덕수 대통령 권한 대행 국무총리 대통령 헌법 재판관 지명 정국 혼란 빠뜨리 다는 이유 거론 의장 긴급 기자 회견 대통령 선거일 개헌 위하 국민 투표 동시 시행 자며 가장 어렵 권력 구조 개편 기회 자는 라고 제안 현행 단임 대통령 대하 개편안', '우의장, 대선·개헌 동시 투표 제안 철회...“선거 후 논의” 우원식 국회 의장 대선 개헌 동시 투표 제안 철회 개헌 대하 정당 입장 관련 논의 대선 미루 자는 의장 이날 페이스북 국민 공감대 기초 정당 합의 대선 이후 본격 논의 자면서 상황 대선 동시 투표 개헌 사실 어렵 다고 판단 ㄴ다고 밝히', '李, 개헌론 선긋기에… 우원식 “대선 뒤 논의” 철회 [6·3 장미대선 레이스] 상황 대선 동시 투표 개헌 사실 어렵 다고 판단 ㅂ니다 우원식 국회 의장 조기 대선 개헌 국민 투표 동시 실시 자고 제안 불과 사흘 개헌 제안 사실 철회 의장 입장 통하 국민 공감대 기초 정당 합의 대선 이후 본격 논의 자면서 대선 개헌 동시 투표 입장 이날']"
5,33,5_대표_이재명_대표직_사퇴,"['대표', '이재명', '대표직', '사퇴', '대선', '출마', '더불어민주당', '시작', '는데', '최고']","['이재명 “위대한 국민과 함께할 것” 당 대표직 사퇴…대선 출마 수순 더불어민주당 이재명 대표 대표직 물러나 대표 이르 10 21 대통령 선거 출마 선언 보이 ㄴ다 이날 국회 열리 최고 위원회 이제 새롭 시작 라며 역경 이기 위대하 국민 다고 밝히 대표 대표 재임 기간 대하 지나 생각 소설 엄청나 한편 순간 처럼 느끼 ㄴ다며 출발 험하 는데 퇴임 상황 출발 보다 상황 다고 문화 많이 바뀌 민주 민주당 라는 비판 았었 는데 당원 중심 진정하 민주 민주당 다며 한편 비상계엄 위기 는데 위대하 국민 국민 주인 민주 공화국 되돌아가 다고 자평 다이 대표 이날 공직 중요 강조 는데 퇴임사 할애 공직 라고 자면 자면 표시', '[속보] 이재명, 대표직 사퇴…“새로운 일 시작” 이재명 더불어민주당 대표 국회 열리 최고 위원 회의 환하 박민규 선임 기자 이재명 더불어민주당 대표 새롭 시작 라며 대표 사퇴 밝히 대표 이날 최고 위원 회의 대표직 사퇴 밝히 새롭 시작 라고 대선 출마 시사 풀이 ㄴ다 칭찬 으며', '이재명, 당 대표 사퇴…“새로운 일 시작” 대선 출마 수순 더불어민주당 이재명 대표 대표직 사퇴 대선 출마 공식 대표 이날 오전 국회 열리 최고 위원 회의 대표 로서 나름 성과 재임 감사 드리 ㄴ다며 대표 사퇴 밝히 이제 새롭 시작 라며 조기 대선 출마 공식 대표 대표 재임 지나 대하 소회 밝히 아쉽 거나 홀가분하 거나 그런 느낌 사실 다고 그러 면서 출발 험하 는데 그러 어도 퇴임 상황 출발 보다 상황 덕분 라고 사생활 제외 나머지 대부분 민주당 이다 민주당 당원 지키 지키 다고 대표 성과 문화 많이 바뀌 다며 민주 민주당 라는 비난 과거 는데 요즘 많이 사라지 당원 중심 진정하 민주']"
6,22,6_김동연_출마_지사_선언,"['김동연', '출마', '지사', '선언', '대선', '경기', '김부겸', '경선', '21', '정권교체']","['김동연 “감세 남발 않겠다” 이재명 저격하며 출마…김부겸은 뜻 접어 경제 김동연 경기 도지사 인천공항 터미널 대선 출마 선언 연합뉴스 김동연 경기 지사 21 대선 출마 선언 김부겸 국무총리 고심 대선 출마 다고 밝히 김경수 경남 지사 출마 선언 시점 가늠 63 대선 55 앞두 더불어민주당 대선 경선 후보 하나둘 확정', '김동연, 대선 출마 공식 선언…""정권교체 이상의 교체 필요"" 김동연 경기 도지사 인천공항 터미널 21 대통령 선거 출마 선언 사진 연합뉴스 김동연 경기 도지사 21 대통령 선거 출마 공식 선언 지사 오늘 미국 출국', '김동연 출마·김부겸 불출마·김경수 곧 결정···민주당 경선 후보 속속 확정 김동연 경기 지사 인천국제공항 21 대선 출마 선언 연합뉴스 김동연 경기 지사 21 대선 출마 선언 김부겸 국무총리 고심 대선 출마 다고 밝히 김경수 경남 지사 출마 선언 시점 가늠 63 대선 55 앞두 더불어민주당 대선 경선 후보 하나둘 확정 지사 이날']"
7,21,7_북한_산불_지원_정부,"['북한', '산불', '지원', '정부', '소방', '안전', '발생', '건조', '폭파', '통일부']","['법원 “정부, 447억 청구액 근거 명확히”…3분 만에 끝난 북한 상대 첫 손배소 재판 공동 연락 사무소 폭파 관련 피고 빈자리 상태 진행 대응 으면 길어지 남북 공동연락사무소 폭파 북한 정부 책임 다며 한국 정부 제기 손해 배상 소송 본격 시작 서울중앙지법 민사 합의 46 재판장 김형철 대한민국 정부 북한 정부 상대 손해 배상 소송 변론 기일', '美싱크탱크 “北 남포서 길이 140m 최대규모 군함 건조 중” 북한 서해안 남포 해군조선소 최대 길이 140 달하 신형 유도탄 호위함 FFG 건조 정황 포착 북한 보유 해군 전함 최대 규모 보이 ㄴ다 미국 싱크탱크 전략 국제문제연구소 CSIS 운영 북한 전문 사이트 분단 Beyond Parallel 현지 촬영 인공위성 영상 북한 신형 유도탄 호위 추정 함정 모습 담기 다고 공개 보고서 밝히 유도탄 호위함 유도탄 탑재 공대 함대 잠수함 작전 다목적 임무 수행 함정 ㄴ다 해당 유도탄 호위함 길이 120 부유식 드라이 독선박 건조 수리 건식독 계류 의장 필요 기계 설치 작업 이뤄지 통상 군함 진수 내부 구조물 공사 장비 설치 보급품 적재 진행 의장 작업 거치 인도 ㄴ다 부유식 드라이 최근 보수 의장 작업 부두 인근 설치', '美싱크탱크 “길이 140m 北 최대 신형 군함, 남포서 포착” 북한 길이 140 달하 유도 탄호위함 FFG 새로 건조 정황 포착 북한 현재 건조 군함 최대 규모 라는 관측 나오 현지 전략국제문제연구소 CSIS 운영 북한 전문 매체 분단 Beyond Parallel 남포 신형 유도 탄호위함 의장 제목 보고서 공개 해당 보고서 CSIS 조지프 버뮤데즈 선임 연구원 제니퍼 연구원 작성 FFG 공대 함대잠 작전 수행 유도 미사일 병기 탑재 다목적 임무 수행 해군 함정 보고서 지나 북한 서해안 남포 해군 조선소 위성 사진 공개 구체 건조 정황 설명 고서 북한 FFG 120 부유식 선거 드라이 독선박 건조 수리 건식독 건조 다고 전하 위성 사진 포착 해당 부유식 선거 타워 크레인 자재 부품 배치 함정']"
