title,description,published,link,media,desc_tokens,text,topic
"미국 방문한 김동연, 현지 업체와 간담회 “트럼프 관세 전쟁은 자해 행위”",더불어민주당 소속 김동연 경기지사가 10일 미국 미시간주 디트로이트에 도착해 자동차 부품업체와의 간담회를 시작으로 방미 일정을 시작했다 김 지사는 지난 9일 인천국제공항에서 대통령 선거 출마를 선언한 뒤 2박 4일 일정으로 출국했다,2025-04-10 01:48:00,https://www.chosun.com/politics/politics_general/2025/04/10/XM2UKFMHTBHZVKAKOZHFOH3WLE/,조선닷컴,"['더불어민주당', '소속', '김동연', '경기', '지사', '10', '미국', '미시간주', '디트로이트', '도착', '자동차', '부품업체', '간담회', '시작', '방미', '일정', '시작', '지사', '지나', '인천국제공항', '대통령', '선거', '출마', '선언', '일정', '출국']","미국 방문한 김동연, 현지 업체와 간담회 “트럼프 관세 전쟁은 자해 행위” 더불어민주당 소속 김동연 경기지사가 10일 미국 미시간주 디트로이트에 도착해 자동차 부품업체와의 간담회를 시작으로 방미 일정을 시작했다 김 지사는 지난 9일 인천국제공항에서 대통령 선거 출마를 선언한 뒤 2박 4일 일정으로 출국했다",6
민주당도 대선 레이스 막올라… 이재명 “새로운 일 시작” 김동연 “개헌 완수”,이재명 전 더불어민주당 대표가 9일 63 조기 대선 출마를 위해 당대표에서 사퇴하면서 민주당의 대선 경선 레이스가 본격 시작됐다 비명계의 김두관 전 의원이 지난 7일 경선 출마를 선언한 데 이어 이날은 김동연 경기지사가 해외 출국길에 출마를 선언했다 대선 출마 가능성이 거론되던 김부겸 전 총리는 민주당 대선 경선에 참여하지 않을 것이라고 밝혔다,2025-04-09 16:11:00,https://www.chosun.com/politics/assembly/2025/04/10/Z2YMAN27ZVE6DBTMIFSGSD7CYY/,조선닷컴,"['이재명', '더불어민주당', '대표', '63', '조기', '대선', '출마', '위하', '대표', '사퇴', '면서', '민주당', '대선', '경선', '레이스', '본격', '시작', '비명', '김두관', '의원', '지나', '경선', '출마', '선언', '이날', '김동연', '경기', '지사', '해외', '출국', '출마', '선언', '대선', '출마', '가능', '거론', '김부겸', '총리', '민주당', '대선', '경선', '참여', '라고', '밝히']",민주당도 대선 레이스 막올라… 이재명 “새로운 일 시작” 김동연 “개헌 완수” 이재명 전 더불어민주당 대표가 9일 63 조기 대선 출마를 위해 당대표에서 사퇴하면서 민주당의 대선 경선 레이스가 본격 시작됐다 비명계의 김두관 전 의원이 지난 7일 경선 출마를 선언한 데 이어 이날은 김동연 경기지사가 해외 출국길에 출마를 선언했다 대선 출마 가능성이 거론되던 김부겸 전 총리는 민주당 대선 경선에 참여하지 않을 것이라고 밝혔다,6
대선 출마 지자체장 사퇴 안해도 되나요,21대 대통령 선거일이 6월 3일로 확정되자 현직 광역자치단체장들이 잇따라 대선 경선 출마를 선언하고 있다 이 중 상당수는 시장도지사직을 사퇴하지 않고 휴가 등을 사용해 정당 경선에 참여할 것으로 알려졌다 경선에서 패하면 다시 시장도지사 직으로 복귀하겠다는 뜻으로 보인다 공직선거법상 선거일 30일 전까지 공직에서 사퇴해야 해 이들이 공직을 유지한 채 정당 경선에 참여하는 데 제한은 없다 하지만 정치권 일각에선 경선 기간에 지방 행정 공백을 우려하는 목소리도 나온다,2025-04-09 16:11:00,https://www.chosun.com/politics/politics_general/2025/04/10/2X6OAQ5MYRGOPGJ6N2PZWZO4U4/,조선닷컴,"['21', '대통령', '선거일', '확정', '현직', '광역', '자치', '단체장', '잇따르', '대선', '경선', '출마', '선언', '상당수', '시장', '도지사', '사퇴', '휴가', '사용', '정당', '경선', '참여', '알려지', '경선', '다시', '시장', '도지사', '복귀', '다는', '보이', 'ㄴ다', '공직', '선거법', '선거일', '30', '공직', '사퇴', '공직', '유지', '정당', '경선', '참여', '제한', '정치', '일각', '경선', '기간', '지방', '행정', '공백', '우려', '목소리', '나오', 'ㄴ다']",대선 출마 지자체장 사퇴 안해도 되나요 21대 대통령 선거일이 6월 3일로 확정되자 현직 광역자치단체장들이 잇따라 대선 경선 출마를 선언하고 있다 이 중 상당수는 시장도지사직을 사퇴하지 않고 휴가 등을 사용해 정당 경선에 참여할 것으로 알려졌다 경선에서 패하면 다시 시장도지사 직으로 복귀하겠다는 뜻으로 보인다 공직선거법상 선거일 30일 전까지 공직에서 사퇴해야 해 이들이 공직을 유지한 채 정당 경선에 참여하는 데 제한은 없다 하지만 정치권 일각에선 경선 기간에 지방 행정 공백을 우려하는 목소리도 나온다,6
이재명 오늘 출마 선언… 김문수·오세훈·김동연도 출사표,이재명 전 더불어민주당 대표가 9일 당대표직에서 물러나면서 대선 출마를 공식화했다 범보수 진영에선 김문수 전 고용노동부 장관 유정복 인천시장 이철우 경북지사 등이 이날 일제히 대선 출마를 공식 선언했다 각 당의 주요 대선 주자급 인사도 속속 대선 출정식 날짜를 잡아 63 대선 레이스가 본격화하고 있다,2025-04-09 15:55:00,https://www.chosun.com/politics/assembly/2025/04/10/W5POLM36EVAGVBFYDSB7PIBB6Y/,조선닷컴,"['이재명', '더불어민주당', '대표', '대표', '물러나', '면서', '대선', '출마', '공식', '보수', '진영', '김문수', '고용', '노동부', '장관', '유정복', '인천시장', '이철우', '경북', '지사', '일제히', '대선', '출마', '공식', '선언', '주요', '대선', '주자급', '인사', '속속', '대선', '출정식', '날짜', '63', '대선', '레이스', '본격']",이재명 오늘 출마 선언… 김문수·오세훈·김동연도 출사표 이재명 전 더불어민주당 대표가 9일 당대표직에서 물러나면서 대선 출마를 공식화했다 범보수 진영에선 김문수 전 고용노동부 장관 유정복 인천시장 이철우 경북지사 등이 이날 일제히 대선 출마를 공식 선언했다 각 당의 주요 대선 주자급 인사도 속속 대선 출정식 날짜를 잡아 63 대선 레이스가 본격화하고 있다,6
"원희룡, 대선 불출마 선언…“당정 분열 막아내지 못했다”",보수 진영 대선 후보였던 원희룡 전 국토교통부 장관이 63 조기 대선에 출마하지 않겠다고 9일 밝혔다,2025-04-09 14:00:00,https://www.chosun.com/politics/assembly/2025/04/09/IX7HUJT465EO3HFN3RARSDCYDU/,조선닷컴,"['보수', '진영', '대선', '후보', '원희룡', '국토', '교통부', '장관', '63', '조기', '대선', '출마', '다고', '밝히']","원희룡, 대선 불출마 선언…“당정 분열 막아내지 못했다” 보수 진영 대선 후보였던 원희룡 전 국토교통부 장관이 63 조기 대선에 출마하지 않겠다고 9일 밝혔다",6
"오세훈·김동연 등 현직 단체장, 줄줄이 ‘대선 경선’ 출마",21대 대통령 선거일이 6월 3일로 확정되자 국민의힘과 더불어민주당 소속 현직 광역자치단체장들이 줄줄이 대선 경선 출마 선언에 나서고 있다 당내 경선에는 공직에서 물러나지 않아도 참여가 가능하지만 경선 기간 동안 시정도정 공백 상황이 벌어질 수 있다는 우려도 나온다,2025-04-09 05:32:00,https://www.chosun.com/politics/politics_general/2025/04/09/TNPNJJOY6ZCUBPGGDNQF5NKQYQ/,조선닷컴,"['21', '대통령', '선거일', '확정', '국민', '더불어민주당', '소속', '현직', '광역', '자치', '단체장', '줄줄이', '대선', '경선', '출마', '선언', '나서', '당내', '경선', '공직', '물러나', '아도', '참여', '가능', '경선', '기간', '시정', '도정', '공백', '상황', '벌어지', '다는', '우려', '나오', 'ㄴ다']","오세훈·김동연 등 현직 단체장, 줄줄이 ‘대선 경선’ 출마 21대 대통령 선거일이 6월 3일로 확정되자 국민의힘과 더불어민주당 소속 현직 광역자치단체장들이 줄줄이 대선 경선 출마 선언에 나서고 있다 당내 경선에는 공직에서 물러나지 않아도 참여가 가능하지만 경선 기간 동안 시정도정 공백 상황이 벌어질 수 있다는 우려도 나온다",6
"김부겸 전 총리, 민주당 경선에 참여 안 한다",조기대선 출마를 시사해 온 김부겸 전 총리가 민주당 대통령 선거 후보 경선에 출마하지 않기로 9일 결정했다,2025-04-09 00:08:00,https://www.chosun.com/politics/assembly/2025/04/09/J6THVHMIYBCARETLOALIF7564Q/,조선닷컴,"['조기', '대선', '출마', '시사', '김부겸', '총리', '민주당', '대통령', '선거', '후보', '경선', '출마', '결정']","김부겸 전 총리, 민주당 경선에 참여 안 한다 조기대선 출마를 시사해 온 김부겸 전 총리가 민주당 대통령 선거 후보 경선에 출마하지 않기로 9일 결정했다",6
김동연 “정직하고 당당한 대통령 되겠다” 대선 출마 선언,더불어민주당 소속 김동연 경기지사는 9일 21대 대통령 선거에 출마한다고 선언했다 김 지사는 이날 인천국제공항에서 미국 출국을 앞두고 기자회견을 열어 이대로는 안 된다는 절박감으로 출마한다며 이번 대선은 대한민국이 과거로 돌아갈 것이냐 미래로 나아갈 것이냐를 결정하는 선거가 될 것이라고 했다,2025-04-09 00:02:00,https://www.chosun.com/politics/politics_general/2025/04/09/KRG4N7GOLRDWRMROCD3P7IOYVM/,조선닷컴,"['더불어민주당', '소속', '김동연', '경기', '지사', '21', '대통령', '선거', '출마', 'ㄴ다고', '선언', '지사', '이날', '인천국제공항', '미국', '출국', '앞두', '기자', '회견', '이대로', 'ㄴ다는', '절박감', '출마', 'ㄴ다며', '대선', '대한민국', '과거', '돌아가', '미래', '나아가', '결정', '선거', '라고']",김동연 “정직하고 당당한 대통령 되겠다” 대선 출마 선언 더불어민주당 소속 김동연 경기지사는 9일 21대 대통령 선거에 출마한다고 선언했다 김 지사는 이날 인천국제공항에서 미국 출국을 앞두고 기자회견을 열어 이대로는 안 된다는 절박감으로 출마한다며 이번 대선은 대한민국이 과거로 돌아갈 것이냐 미래로 나아갈 것이냐를 결정하는 선거가 될 것이라고 했다,6
"김동연 경기지사, 9일 대선 출마 선언...지사직 유지한 채 경선 참여",김동연 경기도지사가 오는 9일 대선 출마를 공식 선언한다,2025-04-08 04:28:00,https://www.chosun.com/politics/politics_general/2025/04/08/7LBMSSJ57JB7JKGIQ4G7BU4LCI/,조선닷컴,"['김동연', '경기', '도지사', '대선', '출마', '공식', '선언', 'ㄴ다']","김동연 경기지사, 9일 대선 출마 선언...지사직 유지한 채 경선 참여 김동연 경기도지사가 오는 9일 대선 출마를 공식 선언한다",6
국민의힘 원희룡·김기현 등 불출마…대선후보 10명 안팎 전망,원희룡 전 국토교통부 장관과 김기현 의원 김태흠 충남도지사 박형준 부산시장 등 잠재적 대선후보로 거론됐던 국민의힘 인사들이 대선 불출마를 선언했다원 전 장관은 지난 9일 자신의 페이스북을 통해 책임을 다하기 위해 대선에 출마하지 않겠다며 보수 진영 주요 대선주자 가운데 가장 먼저 불출마 의사를 밝혔다이어 제가 대선 선대위 정책본부장으로 또 국토교통부 장관으로 참여했던 윤석열 정부가 대통령 탄핵을 맞았다며 저에게도 큰 책임이 있다고 적었다그는 지난 전당대회를 통해 당정이 분열하면 모두가 공멸할 것이라고 절박하게 경고했지만 막아내지 못했다 저의 부족함 때문이라며 대선 승리를 위해 당의 단합과 국민의 지지에 필요한 일이라면 어떠한 역할이라도 하겠다고 했다김 의원은 10일 페이스북에서 이번 국민의힘 대선 경선에 참여하지 않는다며 대통령 탄핵을 막아내지 못했다 저부터 먼저 그 책임을 통감하며 자숙과 성찰의 시간을 가지려 한다고 했다그러면서 우리 당,2025-04-10 14:48:00,https://www.donga.com/news/Politics/article/all/20250410/131388450/1,동아닷컴,"['원희룡', '국토', '교통부', '장관', '김기현', '의원', '김태흠', '충남', '도지사', '박형준', '부산시장', '잠재', '대선', '후보', '거론', '국민', '인사', '대선', '출마', '선언', '장관', '지나', '페이스북', '통하', '책임', '위하', '대선', '출마', '다며', '보수', '진영', '주요', '대선', '주자', '가운데', '가장', '먼저', '출마', '의사', '밝히', '대선', '선대위', '정책', '본부장', '국토', '교통부', '장관', '참여', '윤석열', '정부', '대통령', '탄핵', '다며', '책임', '다고', '지나', '전당', '대회', '통하', '당정', '분열', '공멸', '라고', '절박하', '경고', '못하', '부족', '때문', '라며', '대선', '승리', '위하', '단합', '국민', '지지', '필요', '라면', '어떠하', '역할', '이라도', '다고', '의원', '10', '페이스북', '국민', '대선', '경선', '참여', '는다며', '대통령', '탄핵', '못하', '먼저', '책임', '통감', '자숙', '성찰', '가지', 'ㄴ다고', '그러', '면서']",국민의힘 원희룡·김기현 등 불출마…대선후보 10명 안팎 전망 원희룡 전 국토교통부 장관과 김기현 의원 김태흠 충남도지사 박형준 부산시장 등 잠재적 대선후보로 거론됐던 국민의힘 인사들이 대선 불출마를 선언했다원 전 장관은 지난 9일 자신의 페이스북을 통해 책임을 다하기 위해 대선에 출마하지 않겠다며 보수 진영 주요 대선주자 가운데 가장 먼저 불출마 의사를 밝혔다이어 제가 대선 선대위 정책본부장으로 또 국토교통부 장관으로 참여했던 윤석열 정부가 대통령 탄핵을 맞았다며 저에게도 큰 책임이 있다고 적었다그는 지난 전당대회를 통해 당정이 분열하면 모두가 공멸할 것이라고 절박하게 경고했지만 막아내지 못했다 저의 부족함 때문이라며 대선 승리를 위해 당의 단합과 국민의 지지에 필요한 일이라면 어떠한 역할이라도 하겠다고 했다김 의원은 10일 페이스북에서 이번 국민의힘 대선 경선에 참여하지 않는다며 대통령 탄핵을 막아내지 못했다 저부터 먼저 그 책임을 통감하며 자숙과 성찰의 시간을 가지려 한다고 했다그러면서 우리 당,6
