title,description,published,link,media
국힘 경선 후보등록 14∼15일… 내달 3일 대선후보 선출,국민 대선 경선 선거 관리 위원회 회의 내달 전당 대회 대선 후보 확정,"Wed, 09 Apr 2025 03:02:40 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/63H42W3Z4RHSJOQT2XUTDTI6EI/,조선닷컴
정부 “한미 협상 시작… 관세율 낮추는 것이 최우선 목표”,정부 지나 한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 통화 바탕 미국 한국 수입품 대하 부과 25 추가 관세 낮추 위하 협상 들어가 ㄴ다고 밝히,"Wed, 09 Apr 2025 02:25:41 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/09/C4557AHXMVA3JJVF4XUAGWHLXA/,조선닷컴
"이재명, 당 대표 사퇴... “새로운 일 시작” 대선 출마 수순",이재명 더불어민주당 대표 대표직 내려놓 대선 출마 수순 들어가 대표 이제 새롭 시작 다고 대표 어려움 국민 께서 과거 역경 이기 위대하 DNA 발휘 아서 빠르 시일 이기 ㄴ다며 역경 다고,"Wed, 09 Apr 2025 01:17:07 +0000",https://www.chosun.com/politics/assembly/2025/04/09/LXN5NMHIFRAELKRK7ZPA4IQCGM/,조선닷컴
"김부겸 전 총리, 민주당 경선에 참여 안 한다",조기 대선 출마 시사 김부겸 총리 민주당 대통령 선거 후보 경선 출마 결정,"Wed, 09 Apr 2025 00:08:38 +0000",https://www.chosun.com/politics/assembly/2025/04/09/J6THVHMIYBCARETLOALIF7564Q/,조선닷컴
"韓대행, 트럼프 통화서 ‘조선·LNG·무역균형’ 협력 의지 강조",한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 전화 통화 조선 미국 LNG 액화 천연가스 수입 무역 수지 균형 분야 미국 협력 의지 강조 다고 국무총리실 밝히,"Tue, 08 Apr 2025 14:26:40 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/08/T7CV5F35YZHNFJ4UBD3TXBG4U4/,조선닷컴
김동연 “정직하고 당당한 대통령 되겠다” 대선 출마 선언,더불어민주당 소속 김동연 경기 지사 21 대통령 선거 출마 ㄴ다고 선언 지사 이날 인천국제공항 미국 출국 앞두 기자 회견 이대로 ㄴ다는 절박감 출마 ㄴ다며 대선 대한민국 과거 돌아가 미래 나아가 결정 선거 라고,"Wed, 09 Apr 2025 00:02:09 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/KRG4N7GOLRDWRMROCD3P7IOYVM/,조선닷컴
"韓대행, CNN 인터뷰 “美와 관세 협상할 것...中과 연합 안 한다”",한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 행정부 관세 부과 중국 일본 연합 대항 보다 미국 협상 다는 밝히,"Tue, 08 Apr 2025 14:21:12 +0000",https://www.chosun.com/politics/goverment/2025/04/08/2U4IG7KZVBB7ZCSTRIJL5HQ7SA/,조선닷컴
이재명 오늘 당대표직 사퇴... 중도 겨냥 싱크탱크도 띄워,조기 대선 일정 확정 면서 더불어민주당 대선 주자 출마 선언 잇따르 이재명 대표 대표 내려놓 본격 대선 준비 나서 예정 가운데 당내 경선 도전 비명 주자 발걸음 바쁘 비명 대표 주자 김동연 경기 도지사 김경수 경남 도지사 저녁 서울 모처 만나 경선 출마 대하 논의 알려지,"Tue, 08 Apr 2025 13:12:02 +0000",https://www.chosun.com/politics/assembly/2025/04/08/YC2S2P3A5ZE7ZMZYS3D2UMXS7U/,조선닷컴
민주 “내란 동조 세력의 권한 남용”… 재탄핵으로 가나,더불어민주당 한덕수 대통령 권한 대행 문형배 이미선 헌법 재판관 후임 이완규 법제처장 함상훈 서울고등법원 부장 판사 지명 원천 무효 라며 강력 반발 이재명 대표 이날 대행 대통령 착각 다며 오버 다고 박찬대 원내 대표 윤석열 대통령 국무총리 한덕수 파면 대통령 대신 인사 다고 밖에 다고,"Tue, 08 Apr 2025 13:09:34 +0000",https://www.chosun.com/politics/assembly/2025/04/08/A6R2JIYXFRC4HJNWN3V425N5DQ/,조선닷컴
"韓대행, 트럼프와 28분간 통화… ‘트럼프 2기’ 첫 정상 외교",한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 전화 통화 다고 국무총리실 밝히,"Tue, 08 Apr 2025 12:07:45 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/08/LO7OMLQGPBHKNLXP746GGP6FCU/,조선닷컴
트럼프 “원스톱 쇼핑”… 한국 방위비·관세 패키지 협상 시사,한덕수 대통령 권한 대행 국무총리 도널드 트럼프 미국 대통령 28 가량 통화 123 비상계엄 미국 트럼프 행정부 출범 이후 정상 통화 처음 트럼프 대통령 통화 대하 무역 적자 문제 관세 조선업 협력 미국 액화 천연가스 LNG 방위비 분담금 문제 거론 대행 한국 미국 윈윈 희망 ㄴ다고 다고 총리실 전하 양측 통화 직후 케빈 해싯 국가경제위원회 NEC 위원장 언론 인터뷰 트럼프 무역 협상 한국일본 동맹 라고 지시 다고 밝히,"Tue, 08 Apr 2025 15:56:50 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/ZNRLLYPXLJGQ5EJ6S5QI3MEYDQ/,조선닷컴
무장 북한군 10여명 군사분계선 넘어와 軍 경고 사격에 퇴각,개인 화기 무장 북한군 10 강원도 군사 분계선 MDL 침범 다가 국군 경고 사격 돌아가 당국 북한군 전방 단절 조치 연관 우발 침범 한국 정치 혼란 고의 도발 가능 다고 분석,"Tue, 08 Apr 2025 16:11:15 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/09/VSS52UZMAJH5JPU7S773OJDG2Q/,조선닷컴
"북한군 10여명, 무장한 채 군사분계선 침범… 경고사격에 퇴각",북한군 10 오후 동부 전선 무장 지대 DMZ 군사 분계선 MDL 침범 국군 즉각 경고 방송 경고 사격 다고 합동 참모 본부 밝히 지나 윤석열 대통령 파면 국내 정국 조기 대선 전환 가운데 북한 대남 도발 나서 냐는 지적 나오 ㄴ다 북한 병력 전원 무장 상태 알려지,"Tue, 08 Apr 2025 09:16:34 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/08/NRC2XXSONJD4JK76KG73M6VDRM/,조선닷컴
"“러 파병·무기 지원 北, 28조 경제 효과… 6년치 식량 맞먹어”",북한 우크라이나 전쟁 러시아 규모 파병 탄도 미사일 탄약 무기 지원 대가 경제 이득 최대 28 7000 다는 분석 나오 북한 주민 식량 금액,"Tue, 08 Apr 2025 16:09:19 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/09/M4UOBYILCVFOTEJYHJRO2N6PRU/,조선닷컴
대통령 업무 기록 다 보겠다는 민주… 국힘 “공포 정치”,더불어민주당 윤석열 대통령 남기 기록물 대통령 기록물 지정 못하 도록 법안 발의 대통령 국민 겨냥 공세 민주당 지나 헌법 재판소 탄핵 인용 결정 대통령 대하 추가 수사 구속 촉구 국민 관련 의혹 규명 ㄴ다며 연일 맹공 퍼붓 국민 향하 아서 대통령 후보 어서 ㄴ다고 국민 확정 조기 대선 유리 국면 이끌 위하 민주당 보수 진영 향하 공포 캠페인 벌이 다고,"Tue, 08 Apr 2025 16:09:01 +0000",https://www.chosun.com/politics/assembly/2025/04/09/WNB2Y6XODFFSNHVQDKDBFF7XWE/,조선닷컴
‘6·3 대선’ 확정… 김문수·안철수 출사표,윤석열 대통령 파면 치르 21 대통령 선거일 화요일 확정 국민의힘 보수 진영 대선 주자급 인사 줄줄이 출마 선언 나서,"Tue, 08 Apr 2025 15:56:03 +0000",https://www.chosun.com/politics/2025/04/09/NX7ZY456BNCN3EIBMOKHEJWIRM/,조선닷컴
‘대통령 할 일’ 하는 韓대행… 요동치는 정국,한덕수 대통령 권한 대행 국무총리 마용주 법관 후보자 마은혁 헌법 재판관 후보자 임명 이완규 법제처장 함상훈 서울고법 부장 판사 신임 헌법 재판관 후보자 지명 이함 후보자 18 임기 만료 퇴임 문형배이미선 헌법 재판관 후임 재판관 문재인 대통령 지명 임명 대통령 헌법 재판관 대행 대통령 재판관 지명 행사 더불어민주당 대행 위헌 위법 대통령 인사 행사 다고 반발 대행 이날 정부서울청사 주재 국무 회의 앞서 발표 국민 드리 말씀 통하 문형 배이미선 재판관 후임 지명 관련 경제 부총리 대하 탄핵 소추 국회 본회의 의결 상태 헌재 결원 사태 반복 헌재 결정 지연 경우 대선 관리 필수 추경 준비 통상 현안 대응 심대하 차질 불가피하 국론 분열 다시 격화 우려 다고 마용주 법관 마은혁 헌법 재판관 작년 12 국회 인사 청문회 본회의 임명 동의 선출 절차 거치,"Tue, 08 Apr 2025 15:53:46 +0000",https://www.chosun.com/politics/goverment/2025/04/09/SOSAYFOMKBFJ7BKI3MTMM4WOEM/,조선닷컴
대학 때 5·18 실상 알려 ‘유공자’… 尹과 46년 지기,한덕수 대통령 권한 대행 지명 이완규 64 헌법 재판관 후보자 정부 출범 법제처장 임명 재직 후보자 윤석열 대통령 서울대 법대 79 학번 사법 연수원 23 동기 노무현 대통령 재임 검사 대화 참여 검사 출신,"Tue, 08 Apr 2025 16:03:31 +0000",https://www.chosun.com/politics/goverment/2025/04/09/YBZTCMKN5ZEPNHTYFQ3TN3VVII/,조선닷컴
권한대행의 ‘대통령 몫’ 첫 지명… 헌재 중도·보수 우위로 바뀌어,한덕수 권한 대행 대통령 헌법 재판관 지명 면서 내세우 표면 이유 헌재 기능 마비 다는 18 문형배이미선 재판관 후임 없이 퇴임 헌재 체제 최소 기능 ㄴ다 때문 대행 그동안 보류 마은혁 헌법 재판관 임명 재판관 이완규 법제처장 함상훈 서울고등법원 부장 판사 지명 헌법 재판소 체제 복구 시키 ㄴ다는,"Tue, 08 Apr 2025 16:03:12 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/N2GJLT4RU5CL7EMERFUSMZI3DQ/,조선닷컴
민주 “한덕수의 헌재 후임 지명 무효... 효력정지 가처분 신청”,더불어민주당 한덕수 대통령 권한 대행 대통령 헌법 재판관 지명 대하 권한 쟁의 심판 효력 정지 처분 신청 통하 지명 원천 무효 밝히 라고 대행 대통령 임명 문형배 이미선 재판관 후임자 이완규 법제처장 함상훈 서울고등법원 부장 판사 지명,"Tue, 08 Apr 2025 03:09:44 +0000",https://www.chosun.com/politics/politics_general/2025/04/08/RFAESLN4ENAMLDVGOO5PRQUQ3Q/,조선닷컴
‘대선 출마’ 안철수 손가락에 적힌 의문의 여섯 글자 포착… 무슨 뜻?,안철수 국민 의원 대통령 선거 출마 선언 손가락 글자 적히 장면 포착 온라인 논란,"Tue, 08 Apr 2025 05:57:47 +0000",https://www.chosun.com/politics/politics_general/2025/04/08/P4WOQKVPSJCMLL3HWDISI76H7U/,조선닷컴
우원식 “韓대행의 이완규·함상훈 인사청문요청서 안 받겠다”,우원식 국회 의장 한덕수 대통령 권한 대행 국무총리 이완규 법제 처장 함상훈 서울고법 부장 판사 헌법 재판관 후보자 지명 관련 대행 후보자 대하 인사 청문 요청 제출 접수 다고,"Tue, 08 Apr 2025 05:02:37 +0000",https://www.chosun.com/politics/assembly/2025/04/08/ZCUYSEXRHVGPFC2X436OMARZWI/,조선닷컴
"이완규, 尹과 대학·연수원 동기...계엄땐 “대통령이란 사람이” 비판",한덕수 대통령 권한 대행 국무총리 헌법 재판관 후보자 지명 이완규 64 법제 처장 윤석열 대통령 지난해 12 비상 계엄 선포 계기 탄핵 소추 대통령 대하 실망감 드러내,"Tue, 08 Apr 2025 03:22:23 +0000",https://www.chosun.com/politics/goverment/2025/04/08/O3HKLZQDYVDFHO5TJ66T6UT3LI/,조선닷컴
"김동연 경기지사, 9일 대선 출마 선언...지사직 유지한 채 경선 참여",김동연 경기 도지사 대선 출마 공식 선언 ㄴ다,"Tue, 08 Apr 2025 04:28:10 +0000",https://www.chosun.com/politics/politics_general/2025/04/08/7LBMSSJ57JB7JKGIQ4G7BU4LCI/,조선닷컴
