title,description,published,link,media
"김여정 “비핵화 사문화... 한미일, 아직도 실패한 꿈 속 헤매”",,"Wed, 09 Apr 2025 06:34:05 +0000",https://www.chosun.com/politics/north_korea/2025/04/09/RY6D74ZJ65FU3GV6EBRBXD7NTM/,조선닷컴
“새 시대의 박정희 되겠다”...이철우 경북지사 대선 출마 선언,,"Wed, 09 Apr 2025 05:54:15 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/JSE5WB5KGRERHDVOKM6MHVEYMQ/,조선닷컴
"유정복, 대선 출마 선언 “거짓·위선·선동 정치 끝내자”",,"Wed, 09 Apr 2025 05:40:18 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/ZSLIW2IDKFCOZCFWOHZD3FEMHA/,조선닷컴
"우의장, 대선·개헌 동시 투표 제안 철회...“선거 후 논의”",,"Wed, 09 Apr 2025 04:10:21 +0000",https://www.chosun.com/politics/assembly/2025/04/09/P2UGXYJBQ5EL3JCSQ2ONFZ7NQU/,조선닷컴
"오세훈·김동연 등 현직 단체장, 줄줄이 ‘대선 경선’ 출마",,"Wed, 09 Apr 2025 05:32:24 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/TNPNJJOY6ZCUBPGGDNQF5NKQYQ/,조선닷컴
김문수 “‘피고인 이재명’ 상대는 깨끗한 내가 제격”... 대선 출마 선언,,"Wed, 09 Apr 2025 01:00:33 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/HMGTQTGSXFB3XLWMKBMWCMFW5M/,조선닷컴
"이완규, ‘국민의힘 당적 논란’에 “정당 가입한 적 없다”",,"Wed, 09 Apr 2025 03:42:04 +0000",https://www.chosun.com/national/court_law/2025/04/09/AHUNWCECKJA3RNVCFOVQ75NIIQ/,조선닷컴
국힘 경선 후보등록 14∼15일… 내달 3일 대선후보 선출,,"Wed, 09 Apr 2025 03:02:40 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/63H42W3Z4RHSJOQT2XUTDTI6EI/,조선닷컴
"‘권한대행 헌법재판관 지명 금지’, 민주당 주도 법사위 통과",,"Wed, 09 Apr 2025 02:03:47 +0000",https://www.chosun.com/politics/assembly/2025/04/09/F5UIZXAUCVAFJFCBG6ZL7CGHDE/,조선닷컴
정부 “한미 협상 시작… 관세율 낮추는 것이 최우선 목표”,,"Wed, 09 Apr 2025 02:25:41 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/09/C4557AHXMVA3JJVF4XUAGWHLXA/,조선닷컴
"이재명, 당 대표 사퇴... “새로운 일 시작” 대선 출마 수순",,"Wed, 09 Apr 2025 01:17:07 +0000",https://www.chosun.com/politics/assembly/2025/04/09/LXN5NMHIFRAELKRK7ZPA4IQCGM/,조선닷컴
"김부겸 전 총리, 민주당 경선에 참여 안 한다",,"Wed, 09 Apr 2025 00:08:38 +0000",https://www.chosun.com/politics/assembly/2025/04/09/J6THVHMIYBCARETLOALIF7564Q/,조선닷컴
"韓대행, 트럼프 통화서 ‘조선·LNG·무역균형’ 협력 의지 강조",,"Tue, 08 Apr 2025 14:26:40 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/08/T7CV5F35YZHNFJ4UBD3TXBG4U4/,조선닷컴
김동연 “정직하고 당당한 대통령 되겠다” 대선 출마 선언,,"Wed, 09 Apr 2025 00:02:09 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/KRG4N7GOLRDWRMROCD3P7IOYVM/,조선닷컴
"韓대행, CNN 인터뷰 “美와 관세 협상할 것...中과 연합 안 한다”",,"Tue, 08 Apr 2025 14:21:12 +0000",https://www.chosun.com/politics/goverment/2025/04/08/2U4IG7KZVBB7ZCSTRIJL5HQ7SA/,조선닷컴
이재명 오늘 당대표직 사퇴... 중도 겨냥 싱크탱크도 띄워,,"Tue, 08 Apr 2025 13:12:02 +0000",https://www.chosun.com/politics/assembly/2025/04/08/YC2S2P3A5ZE7ZMZYS3D2UMXS7U/,조선닷컴
민주 “내란 동조 세력의 권한 남용”… 재탄핵으로 가나,,"Tue, 08 Apr 2025 13:09:34 +0000",https://www.chosun.com/politics/assembly/2025/04/08/A6R2JIYXFRC4HJNWN3V425N5DQ/,조선닷컴
"韓대행, 트럼프와 28분간 통화… ‘트럼프 2기’ 첫 정상 외교",,"Tue, 08 Apr 2025 12:07:45 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/08/LO7OMLQGPBHKNLXP746GGP6FCU/,조선닷컴
트럼프 “원스톱 쇼핑”… 한국 방위비·관세 패키지 협상 시사,,"Tue, 08 Apr 2025 15:56:50 +0000",https://www.chosun.com/politics/politics_general/2025/04/09/ZNRLLYPXLJGQ5EJ6S5QI3MEYDQ/,조선닷컴
무장 북한군 10여명 군사분계선 넘어와 軍 경고 사격에 퇴각,,"Tue, 08 Apr 2025 16:11:15 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/09/VSS52UZMAJH5JPU7S773OJDG2Q/,조선닷컴
"북한군 10여명, 무장한 채 군사분계선 침범… 경고사격에 퇴각",,"Tue, 08 Apr 2025 09:16:34 +0000",https://www.chosun.com/politics/diplomacy-defense/2025/04/08/NRC2XXSONJD4JK76KG73M6VDRM/,조선닷컴
